patient	sample
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC08	BC08
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC09	BC09_Re
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC10	BC10
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
BC11	BC11
